theta_condition,seed,episode,label,duration,reward_count,wrong_arm_count,timeout_count
ScrTheta_0.8,0,0,timeout,85.00000000000658,0,0,1
ScrTheta_0.8,0,1,timeout,85.00999999998378,0,0,1
ScrTheta_0.8,0,2,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,0,3,timeout,85.00999999992271,0,0,1
ScrTheta_0.8,0,4,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,0,5,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,0,6,timeout,85.00999999992274,0,0,1
ScrTheta_0.8,0,7,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,0,8,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,0,9,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,2,0,timeout,85.00000000000658,0,0,1
ScrTheta_0.8,2,1,timeout,85.00999999998378,0,0,1
ScrTheta_0.8,2,2,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,2,3,timeout,85.00999999992271,0,0,1
ScrTheta_0.8,2,4,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,2,5,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,2,6,timeout,85.00999999992274,0,0,1
ScrTheta_0.8,2,7,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,2,8,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,2,9,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,4,0,timeout,85.00000000000658,0,0,1
ScrTheta_0.8,4,1,timeout,85.00999999998378,0,0,1
ScrTheta_0.8,4,2,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,4,3,timeout,85.00999999992271,0,0,1
ScrTheta_0.8,4,4,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,4,5,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,4,6,timeout,85.00999999992274,0,0,1
ScrTheta_0.8,4,7,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,4,8,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,4,9,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,6,0,timeout,85.00000000000658,0,0,1
ScrTheta_0.8,6,1,timeout,85.00999999998378,0,0,1
ScrTheta_0.8,6,2,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,6,3,timeout,85.00999999992271,0,0,1
ScrTheta_0.8,6,4,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,6,5,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,6,6,timeout,85.00999999992274,0,0,1
ScrTheta_0.8,6,7,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,6,8,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,6,9,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,42,0,timeout,85.00000000000658,0,0,1
ScrTheta_0.8,42,1,timeout,85.00999999998378,0,0,1
ScrTheta_0.8,42,2,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,42,3,timeout,85.00999999992271,0,0,1
ScrTheta_0.8,42,4,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,42,5,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,42,6,timeout,85.00999999992274,0,0,1
ScrTheta_0.8,42,7,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,42,8,timeout,85.00999999992268,0,0,1
ScrTheta_0.8,42,9,timeout,85.00999999992268,0,0,1
