theta_condition,seed,episode,label,duration,reward_count,wrong_arm_count,timeout_count
ScrTheta_0.4,0,0,timeout,90.00000000000914,0,0,1
ScrTheta_0.4,0,1,timeout,90.00999999997212,0,0,1
ScrTheta_0.4,0,2,timeout,90.00999999991816,0,0,1
ScrTheta_0.4,0,3,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,0,4,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,0,5,timeout,90.0099999999182,0,0,1
ScrTheta_0.4,0,6,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,0,7,reached_goal,83.05999999992446,1,0,0
ScrTheta_0.4,0,8,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,0,9,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,2,0,timeout,90.00000000000914,0,0,1
ScrTheta_0.4,2,1,timeout,90.00999999997212,0,0,1
ScrTheta_0.4,2,2,timeout,90.00999999991816,0,0,1
ScrTheta_0.4,2,3,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,2,4,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,2,5,timeout,90.0099999999182,0,0,1
ScrTheta_0.4,2,6,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,2,7,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,2,8,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,2,9,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,4,0,timeout,90.00000000000914,0,0,1
ScrTheta_0.4,4,1,timeout,90.00999999997212,0,0,1
ScrTheta_0.4,4,2,timeout,90.00999999991816,0,0,1
ScrTheta_0.4,4,3,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,4,4,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,4,5,reached_goal,84.46999999992323,1,0,0
ScrTheta_0.4,4,6,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,4,7,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,4,8,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,4,9,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,6,0,timeout,90.00000000000914,0,0,1
ScrTheta_0.4,6,1,timeout,90.00999999997212,0,0,1
ScrTheta_0.4,6,2,timeout,90.00999999991816,0,0,1
ScrTheta_0.4,6,3,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,6,4,reached_goal,64.82999999994104,1,0,0
ScrTheta_0.4,6,5,timeout,90.0099999999182,0,0,1
ScrTheta_0.4,6,6,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,6,7,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,6,8,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,6,9,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,42,0,timeout,90.00000000000914,0,0,1
ScrTheta_0.4,42,1,timeout,90.00999999997212,0,0,1
ScrTheta_0.4,42,2,timeout,90.00999999991816,0,0,1
ScrTheta_0.4,42,3,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,42,4,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,42,5,timeout,90.0099999999182,0,0,1
ScrTheta_0.4,42,6,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,42,7,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,42,8,timeout,90.00999999991814,0,0,1
ScrTheta_0.4,42,9,timeout,90.00999999991814,0,0,1
